idx  param    N     norm
0  -0.4875    0  0.000000
1  -0.4625    0  0.000000
2  -0.4375    1  0.018536
3  -0.4125    0  0.000000
4  -0.3875    1  0.018536
5  -0.3625    0  0.000000
6  -0.3375    0  0.000000
7  -0.3125    1  0.018536
8  -0.2875    3  0.055607
9  -0.2625    2  0.037071
10 -0.2375    7  0.129750
11 -0.2125    5  0.092678
12 -0.1875   11  0.203892
13 -0.1625   32  0.593142
14 -0.1375   39  0.722892
15 -0.1125   86  1.594069
16 -0.0875  159  2.947173
17 -0.0625  224  4.151993
18 -0.0375  257  4.763670
19 -0.0125  276  5.115848
20  0.0125  231  4.281742
21  0.0375  194  3.595922
22  0.0625  120  2.224282
23  0.0875  105  1.946247
24  0.1125   71  1.316033
25  0.1375   54  1.000927
26  0.1625   52  0.963855
27  0.1875   42  0.778499
28  0.2125   36  0.667285
29  0.2375   30  0.556070
30  0.2625   19  0.352178
31  0.2875   19  0.352178
32  0.3125   18  0.333642
33  0.3375   12  0.222428
34  0.3625   14  0.259500
35  0.3875   13  0.240964
36  0.4125    7  0.129750
37  0.4375    4  0.074143
38  0.4625    9  0.166821
39  0.4875    4  0.074143
