idx param    N     norm
0  -3.875   10  0.019724
1  -3.625   10  0.019724
2  -3.375   14  0.027613
3  -3.125   10  0.019724
4  -2.875   16  0.031558
5  -2.625   25  0.049310
6  -2.375   24  0.047337
7  -2.125   36  0.071006
8  -1.875   46  0.090730
9  -1.625   65  0.128205
10 -1.375   64  0.126233
11 -1.125   58  0.114398
12 -0.875   82  0.161736
13 -0.625   85  0.167653
14 -0.375  103  0.203156
15 -0.125  162  0.319527
16  0.125  160  0.315582
17  0.375  220  0.433925
18  0.625  200  0.394477
19  0.875  182  0.358974
20  1.125  141  0.278107
21  1.375  110  0.216963
22  1.625   61  0.120316
23  1.875   40  0.078895
24  2.125   30  0.059172
25  2.375   18  0.035503
26  2.625   12  0.023669
27  2.875   14  0.027613
28  3.125    4  0.007890
29  3.375   10  0.019724
30  3.625    9  0.017751
31  3.875    7  0.013807
