idx  param    N      norm
7  -0.3125    0  0.000000
8  -0.2875    0  0.000000
9  -0.2625    1  0.029176
10 -0.2375    5  0.145879
11 -0.2125    1  0.029176
12 -0.1875    3  0.087527
13 -0.1625   18  0.525164
14 -0.1375   22  0.641867
15 -0.1125   65  1.896426
16 -0.0875  108  3.150985
17 -0.0625  156  4.551422
18 -0.0375  185  5.397520
19 -0.0125  192  5.601751
20  0.0125  164  4.784829
21  0.0375  130  3.792852
22  0.0625   72  2.100656
23  0.0875   68  1.983953
24  0.1125   35  1.021152
25  0.1375   29  0.846098
26  0.1625   29  0.846098
27  0.1875   11  0.320934
28  0.2125   15  0.437637
29  0.2375   14  0.408461
30  0.2625    8  0.233406
31  0.2875    8  0.233406
32  0.3125    8  0.233406
33  0.3375    3  0.087527
34  0.3625    5  0.145879
35  0.3875    6  0.175055
36  0.4125    2  0.058352
37  0.4375    2  0.058352
38  0.4625    4  0.116703
39  0.4875    2  0.058352
