idx param    N     norm
0  -3.875    3  0.008804
1  -3.625    6  0.017608
2  -3.375    7  0.020543
3  -3.125    3  0.008804
4  -2.875   13  0.038151
5  -2.625   15  0.044021
6  -2.375   16  0.046955
7  -2.125   26  0.076302
8  -1.875   29  0.085106
9  -1.625   50  0.146735
10 -1.375   49  0.143800
11 -1.125   50  0.146735
12 -0.875   57  0.167278
13 -0.625   46  0.134996
14 -0.375   75  0.220103
15 -0.125  113  0.331621
16  0.125  110  0.322817
17  0.375  150  0.440205
18  0.625  145  0.425532
19  0.875  128  0.375642
20  1.125  107  0.314013
21  1.375   73  0.214233
22  1.625   40  0.117388
23  1.875   21  0.061629
24  2.125   11  0.032282
25  2.375    7  0.020543
26  2.625    4  0.011739
27  2.875    3  0.008804
28  3.125    2  0.005869
29  3.375    2  0.005869
30  3.625    0  0.000000
31  3.875    2  0.005869
