idx    c    N  param      norm
0  -0.29    0  -0.29  0.000000
1  -0.27    0  -0.27  0.000000
2  -0.25    1  -0.25  0.029394
3  -0.23    2  -0.23  0.058789
4  -0.21    3  -0.21  0.088183
5  -0.19   18  -0.19  0.529101
6  -0.17   19  -0.17  0.558495
7  -0.15   40  -0.15  1.175779
8  -0.13   82  -0.13  2.410347
9  -0.11  123  -0.11  3.615520
10 -0.09  152  -0.09  4.467960
11 -0.07  154  -0.07  4.526749
12 -0.05  170  -0.05  4.997061
13 -0.03  180  -0.03  5.291005
14 -0.01  135  -0.01  3.968254
15  0.01  122   0.01  3.586126
16  0.03  101   0.03  2.968842
17  0.05   97   0.05  2.851264
18  0.07   81   0.07  2.380952
19  0.09   58   0.09  1.704879
20  0.11   45   0.11  1.322751
21  0.13   22   0.13  0.646678
22  0.15   29   0.15  0.852440
23  0.17   18   0.17  0.529101
24  0.19   11   0.19  0.323339
25  0.21   19   0.21  0.558495
26  0.23    8   0.23  0.235156
27  0.25    8   0.25  0.235156
28  0.27    3   0.27  0.088183
29  0.29    0   0.29  0.000000
