idx  x1    N  param      norm
0  -2.9    1   -2.9  0.002939
1  -2.7    9   -2.7  0.026455
2  -2.5   16   -2.5  0.047031
3  -2.3   16   -2.3  0.047031
4  -2.1   28   -2.1  0.082305
5  -1.9   28   -1.9  0.082305
6  -1.7   46   -1.7  0.135215
7  -1.5   68   -1.5  0.199882
8  -1.3   58   -1.3  0.170488
9  -1.1   62   -1.1  0.182246
10 -0.9   65   -0.9  0.191064
11 -0.7   97   -0.7  0.285126
12 -0.5   94   -0.5  0.276308
13 -0.3  109   -0.3  0.320400
14 -0.1  126   -0.1  0.370370
15  0.1  124    0.1  0.364491
16  0.3  139    0.3  0.408583
17  0.5  138    0.5  0.405644
18  0.7  127    0.7  0.373310
19  0.9  131    0.9  0.385068
20  1.1   82    1.1  0.241035
21  1.3   65    1.3  0.191064
22  1.5   37    1.5  0.108760
23  1.7   21    1.7  0.061728
24  1.9    8    1.9  0.023516
25  2.1    1    2.1  0.002939
26  2.3    4    2.3  0.011758
27  2.5    0    2.5  0.000000
28  2.7    1    2.7  0.002939
29  2.9    0    2.9  0.000000
