idx      c         N   param      norm
0  -0.2875   0.16870 -0.2875  0.033186
1  -0.2625   0.99480 -0.2625  0.195692
2  -0.2375   1.01600 -0.2375  0.199862
3  -0.2125   0.98730 -0.2125  0.194216
4  -0.1875   0.95840 -0.1875  0.188531
5  -0.1625   5.98400 -0.1625  1.177140
6  -0.1375   6.96100 -0.1375  1.369330
7  -0.1125  24.96000 -0.1125  4.909995
8  -0.0875  24.98000 -0.0875  4.913929
9  -0.0625  25.96000 -0.0625  5.106709
10 -0.0375  26.96000 -0.0375  5.303424
11 -0.0125  20.95000 -0.0125  4.121169
12  0.0125  13.95000  0.0125  2.744168
13  0.0375  14.93000  0.0375  2.936948
14  0.0625   7.93700  0.0625  1.561323
15  0.0875   8.93900  0.0875  1.758431
16  0.1125   6.94800  0.1125  1.366773
17  0.1375   1.94000  0.1375  0.381626
18  0.1625   3.92300  0.1625  0.771711
19  0.1875   1.93300  0.1875  0.380249
20  0.2125   1.90400  0.2125  0.374544
21  0.2375   0.01411  0.2375  0.002776
22  0.2625   0.01031  0.2625  0.002028
23  0.2875   0.03172  0.2875  0.006240
