idx    x1       N  param      norm
0  -3.125   0.000 -3.125  0.000000
1  -2.875   1.039 -2.875  0.020272
2  -2.625   0.208 -2.625  0.004058
3  -2.375   1.039 -2.375  0.020272
4  -2.125   1.039 -2.125  0.020272
5  -1.875   3.048 -1.875  0.059471
6  -1.625   4.018 -1.625  0.078397
7  -1.375   6.998 -1.375  0.136541
8  -1.125   9.007 -1.125  0.175739
9  -0.875   8.037 -0.875  0.156813
10 -0.625   8.037 -0.625  0.156813
11 -0.375  20.023 -0.375  0.390677
12 -0.125  24.111 -0.125  0.470440
13  0.125  23.002  0.125  0.448802
14  0.375  24.042  0.375  0.469094
15  0.625  21.062  0.625  0.410950
16  0.875  18.984  0.875  0.370405
17  1.125  13.025  1.125  0.254136
18  1.375  11.016  1.375  0.214938
19  1.625   4.018  1.625  0.078397
20  1.875   2.979  1.875  0.058125
21  2.125   0.069  2.125  0.001346
22  2.375   0.069  2.375  0.001346
23  2.625   0.069  2.625  0.001346
24  2.875   0.069  2.875  0.001346
